accCrosses,accLB,accThB,aerialsWon,age,assists,bigChanceCreated,blockShots,clearances,crosses,disp,dribbles,errorsSum,fatalError,finalThirdPass,finalThirdPassAcc,fouled,fouls,goals,interceptions,keyPasses,longBall,matchId,mins,offsideWon,offsides,passSucc,passes,penaltyScored,playerId,playerMainPosition,playerName,rate,redCards,seriousError,shots,shotsOT,teamId,teamName,thBall,totalTackles,unsTouches,yelCards
0,0,0,0,29,0,0,0,0,2,1,2,0,0,4,4,0,0,3,0,1,0,60317,90,0,2,100.0,9,0,12419,中锋,泰穆·普基,10.0,0,0,7,6,209,诺维奇,0,1,2,0
0,0,1,2,27,1,2,0,2,1,2,1,0,0,15,10,3,1,1,0,5,1,60321,90,0,0,68.0,25,0,6160,左边锋,萨迪奥·马内,8.7,0,0,2,2,13,利物浦,1,3,6,0
0,1,0,0,27,0,0,0,2,1,3,5,0,0,12,7,1,3,1,1,3,3,60322,90,0,0,61.9,21,0,18719,左边锋,伯纳德,8.65,0,0,2,1,14,埃弗顿,1,4,4,0
7,5,1,0,28,2,3,0,0,18,1,0,0,0,32,27,1,0,0,0,9,5,60316,90,0,0,84.78,46,0,1858,前腰,德布劳内,8.56,0,0,4,1,11,曼城,1,1,2,0
2,4,0,0,23,2,0,0,0,5,3,4,0,0,28,25,3,2,0,0,4,6,60314,83,0,0,90.0,70,0,6522,中场,塞瓦略斯,8.28,0,0,3,1,12,阿森纳,1,2,3,0
2,0,0,2,20,0,0,0,1,5,6,1,0,0,16,14,2,1,1,2,1,1,60313,90,0,0,83.87,31,0,24823,前腰,梅森·芒特,8.26,0,0,5,3,1,切尔西,0,3,2,0
1,6,0,1,25,0,1,0,4,2,1,0,0,0,19,17,0,1,1,2,1,7,60319,90,0,0,88.37,43,0,16801,中场,伦德斯特拉姆,8.23,0,0,2,1,507,谢菲尔德联,0,5,3,1
1,0,0,0,27,1,0,0,0,2,4,2,0,0,5,4,1,0,1,2,1,0,60316,85,0,0,75.0,20,0,70,右边锋,拉梅拉,8.19,0,0,1,1,3,热刺,0,2,3,0
0,7,0,1,32,0,0,0,1,0,0,0,0,0,3,0,1,0,0,0,0,18,60316,90,0,0,76.09,46,0,56,门将,洛里,8.18,0,0,0,0,3,热刺,0,0,0,0
2,2,0,2,26,1,0,0,5,6,1,1,0,0,8,6,0,2,0,1,2,3,60322,73,0,0,76.19,21,0,2690,左后卫,迪涅,7.98,0,0,3,1,14,埃弗顿,0,3,1,0
0,0,1,0,26,1,1,0,0,2,2,5,0,0,19,13,1,0,0,2,4,1,60315,90,0,0,88.0,50,0,6320,前腰,兰奇尼,7.96,0,0,1,0,16,西汉姆联,1,1,3,0
0,3,0,2,25,0,0,0,5,6,3,5,0,0,18,11,2,4,0,2,0,4,60313,90,1,0,80.39,51,0,3251,右后卫,里卡多·佩雷拉,7.9,0,0,1,0,10,莱斯特城,0,8,4,0
2,2,0,2,25,0,0,0,2,3,2,3,0,0,15,12,4,1,0,1,1,6,60313,90,0,0,71.64,67,0,5710,左后卫,埃莫森,7.84,0,0,0,0,1,切尔西,0,5,1,0
0,4,0,4,26,0,0,0,1,0,0,0,0,0,8,7,1,1,0,2,1,5,60317,87,0,0,94.29,70,0,10392,后腰,特里布尔,7.84,0,0,1,0,209,诺维奇,0,5,0,0
0,1,0,0,22,1,0,1,0,0,0,4,0,0,4,3,1,0,0,2,1,2,60316,90,0,0,86.67,45,0,23532,中场,恩东贝莱,7.77,0,0,0,0,3,热刺,0,5,2,0
0,4,0,1,29,0,0,2,8,2,0,1,0,0,22,15,1,1,0,4,0,13,60319,90,0,0,74.14,58,0,485,右后卫,乔尔·沃德,7.71,0,0,0,0,19,水晶宫,0,6,1,0
0,1,0,1,20,0,0,1,0,0,0,0,0,0,10,9,2,0,0,4,0,1,60314,90,0,0,94.74,57,0,17242,中场,贡多齐,7.69,0,0,1,1,12,阿森纳,0,2,0,0
0,1,0,0,27,0,0,0,1,0,2,3,0,0,9,5,1,1,1,1,0,2,60321,90,0,0,73.08,26,0,1889,中锋,菲尔米诺,7.69,0,0,2,1,13,利物浦,1,0,2,0
0,1,0,0,21,2,1,0,0,0,1,1,0,0,28,23,1,2,0,0,5,3,60317,90,0,0,87.23,47,0,26634,左中场,坎特维尔,7.68,0,0,1,1,209,诺维奇,0,1,4,0
5,3,0,2,32,0,1,1,1,12,0,1,0,0,22,19,1,1,0,2,5,5,60318,90,0,0,91.55,71,0,450,右后卫,埃尔莫哈马迪,7.67,0,0,0,0,7,阿斯顿维拉,0,1,1,0
0,0,0,3,27,0,0,0,0,0,0,3,0,0,4,1,0,1,1,0,0,1,60316,34,0,0,45.45,11,0,2708,右边锋,卢卡斯,7.66,0,0,1,1,3,热刺,0,0,2,0
0,2,0,6,24,0,0,0,8,0,0,0,0,0,3,0,0,0,0,2,0,9,60322,90,1,0,70.59,34,0,8133,中后卫,耶里·米纳,7.62,0,0,0,0,14,埃弗顿,0,2,0,0
0,0,0,1,25,0,0,0,0,2,0,3,0,0,34,29,1,4,0,2,1,2,60316,80,0,0,84.44,45,0,2971,右边锋,贝尔纳多·席尔瓦,7.62,0,0,5,1,11,曼城,1,1,0,0
0,7,0,6,25,0,0,0,11,0,1,0,0,0,10,6,1,1,0,0,0,13,60319,90,0,0,78.05,41,0,17830,中后卫,杰克·奥康奈尔,7.59,0,0,3,1,507,谢菲尔德联,0,0,2,0
0,2,0,3,31,0,0,1,5,1,0,0,0,0,7,5,1,0,0,2,1,6,60319,90,1,0,82.14,28,0,17836,中后卫,克里斯·巴沙姆,7.49,0,0,0,0,507,谢菲尔德联,0,3,1,0
0,10,0,1,21,0,0,0,4,0,0,0,0,0,13,1,0,0,0,0,0,33,60318,90,0,0,41.03,39,0,17829,门将,拉姆斯代尔,7.49,0,0,0,0,208,伯恩茅斯,0,0,0,0
1,2,0,1,33,1,0,1,0,4,1,1,0,0,18,15,2,2,0,1,3,4,60320,90,0,0,78.72,47,0,2986,中场,穆蒂尼奥,7.48,0,0,0,0,269,狼队,0,3,2,0
0,0,0,0,23,0,0,0,0,1,4,4,0,0,14,11,1,1,1,0,0,0,60320,90,0,1,85.0,20,0,2991,左边锋,马夏尔,7.48,0,0,1,1,2,曼联,0,1,6,0
0,0,0,5,29,0,0,0,2,0,2,0,0,0,11,4,3,2,1,1,0,1,60314,90,0,1,47.06,17,0,516,中锋,阿什利·巴恩斯,7.47,0,0,5,3,20,伯恩利,0,0,1,1
1,1,0,0,21,0,0,0,2,1,0,3,0,0,12,8,0,0,0,2,0,2,60317,90,0,0,85.42,48,0,25333,左后卫,贾马尔·刘易斯,7.46,0,0,0,0,209,诺维奇,0,1,1,0
0,0,1,0,24,0,0,0,0,2,2,1,0,0,24,18,1,2,1,0,2,0,60316,90,0,2,83.78,37,0,348,左边锋,斯特林,7.46,0,0,6,2,11,曼城,1,3,2,1
1,1,0,0,21,0,0,0,1,1,0,2,0,0,39,28,0,1,0,1,0,6,60320,90,0,0,84.09,88,0,20653,右后卫,万·比萨卡,7.45,0,0,1,0,2,曼联,0,9,1,1
1,0,0,3,26,0,0,0,6,6,0,2,0,0,12,10,1,4,0,2,0,3,60319,90,0,0,80.77,26,0,18139,右后卫,乔治·鲍多克,7.44,0,0,0,0,507,谢菲尔德联,0,2,0,1
0,1,0,1,28,0,0,0,1,0,1,0,0,0,11,8,0,0,1,0,1,1,60314,71,0,0,63.16,19,0,3007,中锋,拉卡泽特,7.43,0,0,3,2,12,阿森纳,0,0,1,0
0,4,0,6,31,0,1,1,6,0,0,0,0,0,8,5,0,1,0,2,1,10,60314,90,0,0,85.19,54,0,1809,中后卫,帕帕斯塔索普洛斯,7.43,0,0,0,0,12,阿森纳,0,1,0,0
2,9,0,0,28,0,0,0,0,5,0,0,0,0,24,16,3,1,0,1,5,16,60319,90,0,0,82.0,50,0,11006,中场,诺伍德,7.42,0,0,1,0,507,谢菲尔德联,0,2,1,0
0,7,0,1,22,0,0,0,1,0,0,0,0,0,11,4,0,0,0,0,0,15,60319,90,0,0,57.89,19,0,18167,门将,迪恩·亨德森,7.41,0,0,0,0,507,谢菲尔德联,0,0,0,0
0,1,0,6,26,0,0,2,9,0,1,0,0,0,3,2,0,1,0,0,0,3,60322,90,0,0,79.41,34,0,6165,中后卫,迈克尔·基恩,7.41,0,0,0,0,14,埃弗顿,0,1,1,0
0,2,0,3,25,0,0,0,2,2,4,4,0,0,6,6,2,2,0,1,0,7,60315,90,2,0,81.36,59,0,10547,左后卫,马苏亚库,7.37,0,0,0,0,16,西汉姆联,0,5,3,1
0,1,0,0,29,0,0,0,1,1,0,3,0,0,18,11,0,2,0,1,1,4,60319,90,0,0,76.32,38,0,191,左后卫,恩达·史蒂文斯,7.36,0,0,1,0,507,谢菲尔德联,0,4,2,0
4,2,0,3,28,0,2,0,0,5,2,0,0,0,17,15,0,1,0,0,5,2,60315,67,0,0,82.86,35,0,7001,中场,格罗斯,7.33,0,0,1,0,263,布莱顿,0,3,2,0
0,1,0,7,28,0,0,3,8,0,0,0,0,0,3,1,2,1,0,2,0,8,60318,90,3,0,52.63,19,0,6409,中后卫,史蒂夫·库克,7.33,0,0,0,0,208,伯恩茅斯,0,0,0,0
1,5,0,1,25,0,0,0,1,4,0,2,0,0,28,18,1,0,0,3,1,7,60321,90,2,0,77.78,81,0,459,左后卫,罗伯逊,7.32,0,0,1,1,13,利物浦,0,1,2,0
0,6,0,3,23,0,0,0,2,0,1,0,0,0,16,15,0,0,0,2,2,7,60316,78,0,0,98.21,56,0,10645,后腰,罗德里,7.32,0,0,1,1,11,曼城,0,4,1,0
0,4,0,1,22,0,0,0,2,0,1,0,0,0,14,7,0,3,1,2,0,10,60320,90,0,0,68.09,47,0,3260,后腰,内维斯,7.31,0,0,1,1,269,狼队,0,2,1,1
1,3,0,7,27,0,0,0,3,2,1,0,0,0,5,4,0,1,0,4,2,5,60315,90,0,1,76.6,47,0,11142,中后卫,丹·伯恩,7.29,0,0,2,0,263,布莱顿,0,3,1,0
2,3,0,3,25,0,0,0,2,8,3,3,0,0,19,11,2,0,0,0,2,6,60315,90,0,0,76.19,42,0,11011,左中场,所罗门·马奇,7.29,0,0,1,1,263,布莱顿,0,1,0,0
0,1,0,2,22,0,0,0,3,0,1,0,1,1,8,5,0,0,1,4,0,3,60313,90,0,0,79.49,39,0,12477,后腰,恩迪迪,7.29,0,0,1,1,10,莱斯特城,0,7,0,0
0,1,0,5,33,0,1,0,5,2,0,2,0,0,16,14,0,0,0,0,3,1,60314,90,0,2,88.33,60,0,299,左后卫,蒙雷亚尔,7.28,0,0,0,0,12,阿森纳,0,0,0,0
0,11,0,0,27,0,0,0,1,0,0,0,0,0,10,4,0,0,0,0,1,23,60314,90,0,0,55.56,27,0,10198,门将,尼克·波普,7.27,0,0,0,0,20,伯恩利,0,0,0,0
1,0,0,3,32,0,0,0,0,8,5,3,0,0,9,5,3,1,0,1,0,0,60315,90,0,0,63.64,22,0,464,右边锋,斯诺德格拉斯,7.25,0,0,1,1,16,西汉姆联,0,3,0,0
