accCrosses,accLB,accThB,aerialsWon,age,assists,bigChanceCreated,blockShots,clearances,crosses,disp,dribbles,errorsSum,fatalError,finalThirdPass,finalThirdPassAcc,fouled,fouls,goals,interceptions,keyPasses,longBall,matchId,mins,offsideWon,offsides,passSucc,passes,penaltyScored,playerId,playerMainPosition,playerName,rate,redCards,seriousError,shots,shotsOT,teamId,teamName,thBall,totalTackles,unsTouches,yelCards
0,1,0,7,25,0,0,0,0,0,2,1,0,0,13,6,3,4,2,1,0,1,60331,90,0,0,71.43,28,0,7773,中锋,阿莱,9.07,0,0,4,3,16,西汉姆联,0,1,2,0
2,0,0,3,25,0,1,0,0,6,0,5,0,0,23,19,0,0,0,1,4,1,60328,90,0,0,83.33,60,0,5710,左后卫,埃莫森,8.69,0,0,2,1,1,切尔西,0,7,1,0
0,0,1,0,33,2,2,0,2,0,1,3,0,0,25,22,1,0,0,1,2,1,60327,90,0,1,89.83,59,0,292,前腰,大卫·席尔瓦,8.67,0,0,2,2,11,曼城,1,2,2,0
0,0,0,1,27,0,0,0,0,0,3,3,0,0,30,20,1,0,2,0,1,0,60323,90,0,1,71.79,39,1,25,右边锋,萨拉赫,8.62,0,0,5,2,13,利物浦,0,1,1,0
0,0,0,0,31,0,0,0,1,0,1,0,0,0,13,12,0,0,2,0,3,1,60327,90,0,0,86.96,23,0,294,中锋,阿圭罗,8.5,0,0,4,2,11,曼城,0,1,1,0
0,0,0,0,21,0,0,0,0,0,2,0,0,0,2,1,0,0,2,0,1,0,60328,75,0,0,81.82,11,0,11214,中锋,亚伯拉罕,8.32,0,0,3,2,1,切尔西,0,0,2,0
1,4,1,0,26,1,2,0,1,2,3,3,0,0,13,9,2,1,0,0,3,6,60331,78,0,0,80.85,47,0,2219,左边锋,菲利佩·安德森,8.31,0,0,4,1,16,西汉姆联,1,1,4,0
0,1,0,1,25,0,1,0,0,0,4,3,0,0,16,11,1,0,1,0,2,2,60332,90,0,0,68.75,32,0,6402,左边锋,雷蒙德,8.25,0,0,3,2,15,南安普顿,0,2,2,0
0,2,0,3,28,0,0,1,1,0,0,0,0,0,9,7,0,0,1,3,1,5,60323,90,1,0,79.49,39,0,1586,中后卫,马蒂普,8.19,0,0,1,1,13,利物浦,0,3,0,0
1,3,0,0,20,0,0,0,1,6,1,2,0,0,24,18,0,1,1,0,2,4,60328,91,0,0,84.21,38,0,24823,前腰,梅森·芒特,8.16,0,0,5,2,1,切尔西,0,2,1,0
0,4,1,2,25,0,0,0,0,2,1,6,0,0,22,20,1,2,0,1,5,4,60328,90,0,0,88.46,52,0,359,中场,罗斯·巴克利,8.07,0,0,5,2,1,切尔西,1,0,5,0
3,1,1,1,22,1,1,0,0,6,0,4,0,0,17,8,5,0,0,0,2,3,60325,90,0,1,57.69,26,0,6399,前腰,詹姆斯·麦迪逊,8.06,0,0,4,0,10,莱斯特城,1,0,1,0
0,0,0,1,24,0,0,0,2,0,1,1,0,0,10,5,0,1,1,0,1,1,60327,90,0,2,66.67,18,0,348,左边锋,斯特林,7.99,0,0,2,1,11,曼城,0,2,0,0
0,4,2,0,28,1,1,0,0,0,2,4,0,0,11,9,1,3,0,1,2,5,60324,77,0,0,82.61,23,0,918,右边锋,霍塔,7.86,0,0,0,0,7,阿斯顿维拉,2,1,2,0
0,0,0,0,29,1,1,0,0,0,1,0,0,0,3,2,0,1,1,0,1,0,60328,90,0,0,75.0,8,0,12419,中锋,泰穆·普基,7.8,0,0,2,2,209,诺维奇,0,0,0,0
0,0,0,0,21,0,0,0,1,0,0,2,0,0,4,4,1,1,1,0,0,1,60332,37,0,0,87.5,16,0,20596,左边锋,穆萨·杰内波,7.78,0,0,2,1,15,南安普顿,0,3,2,1
0,2,0,0,25,1,0,0,0,0,3,6,0,0,28,20,3,0,0,0,2,2,60328,90,0,0,80.7,57,0,2452,中场,科瓦契奇,7.78,0,0,1,0,1,切尔西,0,4,5,0
0,6,0,2,27,0,0,3,6,0,0,0,0,0,6,5,3,0,0,2,0,9,60330,90,0,0,76.47,17,0,6891,中后卫,法比安·舍尔,7.77,0,0,1,0,4,纽卡斯尔,0,4,1,0
